"","data_set","unit","prediction_horizon","model","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","multiv_log_score"
"2151","noroBE",10,3,"naive",248,9.46882802367003,32.1014123334359,5,13,1,23,9,2.63757469033595,2.370687331273
"2152","noroBE",10,4,"naive",248,11.427502558809,44.3918394297179,7,15,2,27,5,2.87285257270154,2.5102065100087
"2153","noroBE",11,1,"naive",248,5.18001223203063,11.9533582126278,3,7,0,13,8,2.796649477119,2.05203159769426
"2154","noroBE",11,2,"naive",248,5.50013280520848,13.1365217682065,3,7,0,14,7,2.50111067820627,2.16373709272456
"2155","noroBE",11,3,"naive",248,6.53330498831517,17.3080637172955,3,9,1,16,10,2.99521274275115,2.370687331273
"2156","noroBE",11,4,"naive",248,7.88475187053974,23.5781774017821,4,11,1,19,7,2.44377973487546,2.5102065100087
"2157","noroBE",12,1,"naive",248,3.90087138799526,7.74205398793242,2,5,0,11,3,1.8462436903897,2.05203159769426
"2158","noroBE",12,2,"naive",248,4.1419420898937,8.47255867068647,2,6,0,11,2,1.8921762050021,2.16373709272456
"2159","noroBE",12,3,"naive",248,4.91998500319654,11.03037946213,2,7,0,13,5,2.16044504386413,2.370687331273
"2160","noroBE",12,4,"naive",248,5.93770856042425,14.8374921026644,3,8,0,15,4,2.14660124158448,2.5102065100087
"2161","noroBE",1,1,"naive",249,3.81560207226116,7.48778052867539,2,5,0,10,5,2.24132610598605,2.16316584357899
"2162","noroBE",1,2,"naive",249,4.53251013399639,9.71424507571372,2,6,0,12,5,2.17061270912348,2.36954714570037
"2163","noroBE",1,3,"naive",249,5.47023724406465,13.0178559229512,3,7,0,14,12,3.91077489239347,2.51004511553139
"2164","noroBE",1,4,"naive",249,5.49293192156688,13.1033069621777,3,7,0,14,9,2.98844596930459,2.5269661020279
"2165","noroBE",2,1,"naive",249,2.66740983790447,4.46204893001817,1,4,0,8,1,1.57319365942559,2.16316584357899
"2166","noroBE",2,2,"naive",249,3.16858568919347,5.70096373175134,1,4,0,9,4,2.04614227794592,2.36954714570037
"2167","noroBE",2,3,"naive",249,3.82413164794265,7.51274637466917,2,5,0,10,4,1.99420613576775,2.51004511553139
"2168","noroBE",2,4,"naive",249,3.83999703560391,7.55928157355176,2,5,0,10,3,1.83915747432384,2.5269661020279
"2169","noroBE",3,1,"naive",249,3.78440359512709,7.39677602651341,2,5,0,10,6,2.56150921249864,2.16316584357899
"2170","noroBE",3,2,"naive",249,4.49544981924202,9.59279371807007,2,6,0,12,5,2.17247874778165,2.36954714570037
"2171","noroBE",3,3,"naive",249,5.42550955277378,12.8502058091887,3,7,0,14,6,2.31429406406711,2.51004511553139
"2172","noroBE",3,4,"naive",249,5.44801866601545,12.9344492182108,3,7,0,14,9,3.00062273901748,2.5269661020279
"2173","noroBE",4,1,"naive",249,3.27933986128186,5.99184445583134,1,5,0,9,1,1.8048224817486,2.16316584357899
